Darija (Arabic),Darija (Arabizi),Arabic Standard,English
,,لا يوجد شك بخصوص إخلاصه.,There is no doubt about his honesty.
,,فحصوا مدى نقاوة الماء.,They checked how pure the water was.
,,لقد عوقبوا على جرائمهم.,They were punished for their crimes.
,,لقد تم معاقبتهم على جرائمهم.,They were punished for their crimes.
,,هذا أحد كتب توم المفضلة.,This is one of Tom's favorite books.
,,هذه القصة مُستمّدة من قصّةٍ واقعية.,This story is based on a true story.
,,تتألف هذه النظرية من ثلاثة أجزاء.,This theory consists of three parts.
,,لا يستطيع توم رؤية ماري من مكانه.,Tom can't see Mary from where he is.
,,وعدني توم بأنّه سيكون هنا قبل 2:30.,Tom promised to be here before 2:30.
,,توم أخبرني بأن لا أدخل المغارة.,Tom told me not to go into the cave.
,,تَبِعَ المشتبهَ محققان.,Two detectives followed the suspect.
,,نحنُ ذاهبون للتحقق من ذلك علي الفور.,We are going to check it right away.
,,لا يمكننا النوم بسبب الإزعاج.,We can't sleep because of the noise.
,,نصنع الزبدة و الجبنة من الحليب.,We make milk into cheese and butter.
,,كنّا نسبح في النهر.,We used to swim in this river a lot.
,,ماذا يفعلون الناس من اجل المتعة في بوسطن؟,What do people do for fun in Boston?
,,أتسمح لي بالعزف على البيانو؟,Will you allow me to play the piano?
,,هل تُفضّل التحدّث بالفرنسيّةِ؟,Would you prefer to speak in French?
,,عليك أن تجمع المزيد من المعلومات.,You must gather further information.
,,كأن عليك أن تأتي إلى هنا مبكراً.,You ought to have come here earlier.
,,عليك أن تعترف بفشلك.,You should acknowledge your failure.
,,كان عليك قبول نصيحته.,You should have accepted his advice.
,,الغريق يتعلق بقشة.,A drowning man will catch at a straw.
,,غزى الكثير من السياح الجزيرة.,A lot of tourists invaded the island.
,,اجتاح العديد من السياح الجزيرة .,A lot of tourists invaded the island.
,,الضوضاء الصاخبه في الليل اخافته.,A loud noise in the night scared him.
,,أي طالب يمكنه الرد على هذا السؤال.,Any student can answer that question.
,,تكتب العربية من اليمين إلى اليسار.,Arabic is written from right to left.
,,أستذهب إلى حفلة توم الليلة؟,Are you going to Tom's party tonight?
,,أمتأكد من معرفتك بكيفية فعل هذا؟,Are you sure you know how to do this?
,,هلا أوقفت الفيديو للحظة؟,Can you pause the video for a moment?
,,هلّا أخبرتني عن سبب وجود توم في بوسطن؟,Can you tell me why Tom is in Boston?
,,صحح الأخطاء ، إن وُجدت.,"Correct the errors, if there are any."
,,"صَحِح الأخطاء, إذا كان هناك أي منها.","Correct the errors, if there are any."
,,فضلا، أيمكنني الحصول على كوب قهوة آخر؟,"Could I have one more coffee, please?"
,,هل حللتَ واجِبك بنفسك؟,Did you do your homework by yourself?
,,لا تنسى القاعدة رقم إثنان وسبعون.,Don't forget rule number seventy-two.
,,الإنجليزية لغة عالمية.,English is an international language.
,,كان أحمق بما يكفي ليصدقها.,He was foolish enough to believe her.
,,سوف يلعب كرة المضرب مع أصدقائه.,He will play tennis with his friends.
,,الصحة أهم من المال.,Health is more important than wealth.
,,شعورها له كان متبادلاً.,Her feeling for him was reciprocated.
,,ستُنشر روايتها الجديدة الشهر القادم.,Her new novel will be out next month.
,,شرحه لم يكن كافياً.,His explanation was not satisfactory.
,,كان أداؤه جديراً بالثناء.,His performance was worthy of praise.
,,لست قبطان الفريق الجديد.,I am not the captain of the new team.
,,أقدر ما عمِلته لأجلي.,I appreciate what you've done for me.
,,بالكاد أستطيع العزف على البيانو.,I can play the piano after a fashion.
,,أذهب إلى مطعم كلّ يومين.,I go to a restaurant every other day.
,,أتناول الغداء عند الظهيرة مع أصدقائي.,I have lunch at noon with my friends.
,,"لقد دفعت 1,500 ين لهذا القاموس.","I paid 1,500 yen for this dictionary."
,,أنا أقترح أن يذهب إلى هناك في الحال.,I suggested that he go there at once.
,,أعتقد أنك شخص لطيف حقاً,I think you are a really nice person.
,,اعتقدت انك لن تأتي الى هنا,I thought that you'd never come here.
,,اعتقدت انك لا تريد ان تأتي الى هنا .,I thought that you'd never come here.
,,"أريد قائمة بجميع أقارب ""توم"".",I want a list of all Tom's relatives.
,,كنت هنا البارحة لمدة ثلاث ساعات.,I was here yesterday for three hours.
,,سأتأخر على الاجتماع.,I'm going to be late for the meeting.
,,لن أدير ظهري لِتوم.,I'm not going to turn my back on Tom.
,,يبدو أن العصافة هدأت.,It appears the storm has calmed down.
,,لم يكن من السهل حل هذه المشكلة,It wasn't easy to solve this problem.
,,مِن السهل معرفة سبب حبّ الناس لِتوم.,It's easy to see why people like Tom.
,,اليابان هي جزء آسيا الشرقي.,Japan is in the eastern part of Asia.
,,قلة النوم مضر بصحتك.,Lack of sleep is bad for your health.
,,هلا أريتني رخصتك، سيدي؟,"May I see your driver's license, sir?"
,,لا يشرب أغلب الناس ما يكفيهم من المياه.,Most people don't drink enough water.
,,معظم الطلبة يأتون إلى المدرسة مشياً على الأقدام.,Most students come to school on foot.
,,ساعدني أبي في حل واجبي.,My father helped me with my homework.
,,لا أحد أعرفهُ يكتب خِطابات بعد الآن.,No one I know writes letters anymore.
,,حزنها العميق لا يسعه الكلمات.,No words can express her deep sorrow.
,,الكلمات لا يسعها التعبير عن حزنها العميق.,No words can express her deep sorrow.
,,الكلمات لا يسعها التخفيف عن حزنها العميق.,No words can relieve her deep sorrow.
,,لم يكتب شيء على المروحية.,Nothing is written on the helicopter.
,,علّمتْني كيف أصنع موقعَ إنترنت.,She taught me how to make a web site.
,,استطعت أن أنجح بفضلِ مساعدتكَ.,"Thanks to your help, I could succeed."
,,ليس هذا ما أردت منك رؤيته.,That's not what I wanted to show you.
,,ستبحر السفينة إلى هونولولو غداً.,The ship sails for Honolulu tomorrow.
,,رفضت الضحية إقامة دعوى قضائية.,The victim declined to press charges.
,,العالم لا يتمحور حولك.,The world doesn't revolve around you.
,,كان عقابهم قاسيًا ولكنه عادل.,"Their punishment was harsh, but just."
,,في هذا النادي خمسون عضوا.,There are fifty members in this club.
,,لا يمكنني القيام بشيء لأجل توم.,There was nothing I could do for Tom.
,,هذه ملحوظة مهمة للغاية.,This is an extremely important point.
,,هذا المنتزه يذكّرني بطفولتي.,This park reminds me of my childhood.
,,على الدوام قدم توم أفضل ما يستطيع لمساعدة ماري.,Tom always did his best to help Mary.
,,لم يتوقّع توم أيّة مساعدة من ماري.,Tom didn't expect any help from Mary.
,,انحنى توم والتقط حجرا.,Tom leaned down and picked up a rock.
,,ترجم هذه الجملة إلى الإنجليزية.,Translate this sentence into English.
,,نحن ممتنون لك لمساعدتك.,We are grateful to you for your help.
,,متى عدت من رحلتك؟,When did you get back from your trip?
,,أيهما أسرع، السفينة أم القطار؟,"Which goes faster, a ship or a train?"
,,من يعلم ما قد يحص غدًا؟,Who knows what might happen tomorrow?
,,لماذا تحب ارتداء القبعات كثيرا؟,Why do you like wearing hats so much?
,,أنتَ لستُ مسؤؤلاً عن تلك الفوضى.,You aren't responsible for that mess.
,,أنتِ لستِ مسؤولة عن تلك الفوضى.,You aren't responsible for that mess.
,,أنت لا تستسلم بسهولة جداً، أليس كذلك؟,"You don't give up too easily, do you?"
,,الغريق يتعلق بقشة.,A drowning man will clutch at a straw.
,,هل لي أن أستعير مضربك اليوم؟,Can I borrow your tennis racket today?
,,أيمكنني أن أستعير مضرب التنس خاصتك لليوم؟,Can I borrow your tennis racket today?
,,أيمكنني استعارة مضربك للتنس اليوم؟,Can I borrow your tennis racket today?
,,أيمكننك أن توصلني إلى المحطة؟,Can you give me a lift to the station?
,,هل لك أن تقلني إلى المحطة؟,Can you give me a lift to the station?
,,هل يمكنك إيصالي إلى المحطة؟,Can you give me a ride to the station?
,,أيمكنك أخذنا إلى المتحف البريطاني؟,Can you take us to the British Museum?
,,لم تكن التفاصيل جاهزة مباشرة.,Details weren't immediately available.
,,كم يبعد المتحف عن هنا؟,How far is it from here to the museum?
,,كم تبعد الحديقة عن منزلك؟,How far is the garden from your house?
,,كم ساعة في اليوم تلعب التنس؟,How long do you play tennis every day?
,,لا أستطيع ابتكار خطة الآن.,I can't come up with a plan right now.
,,لا أعرف كيف أشكرك.,I don't know how to express my thanks.
,,أنا لستُ قلقاً كثيراً بشأن سيرتي الذاتية.,I don't worry so much about my resume.
,,لقد كان عيد ميلادي الثلاثين الأسبوع الماضي.,I had my thirtieth birthday last week.
,,أردتُ مرّةً أن أتخصّصَ في الفيزياء الفلكيّة.,I once wanted to be an astrophysicist.
,,أفضل الخروج على البقاء في البيت.,I prefer going out to staying at home.
,,أظن أن من الأفضل ألا تكون وقِحًا.,I think it is best not to be impolite.
,,أردت أن أريهم تقديري,I wanted to show them my appreciation.
,,كيوتو تعتمد على السياحة .,Kyoto depends on the tourist industry.
,,"الحُب قوي, ولكن المال أقوى.","Love is strong, but money is stronger."
,,الرياضيات مادة مثيرة للاهتمام.,Mathematics is an interesting subject.
,,ذهبت الأم إلى المدينة لجلب بعض الخبز.,Mother went to town to get some bread.
,,يؤمن المسلمون أنّه هناك ربّ واحد فقط.,Muslims believe there is only one God.
,,ساعدني أخي أن أحل واجبي.,My brother helped me with my homework.
,,أخي ساعدني في حل واجبي.,My brother helped me with my homework.
,,تخصصي هو تاريخ أوروبا في العصور الوسطى.,My major is medieval European history.
,,ليس كل سؤال يستحق الاجابة.,Not every question deserves an answer.
,,نجا من الحادثة شخص واحد.,Only one person survived the accident.
,,من فضلك إفعل ما تراهُ ضرورياً.,Please do what you consider necessary.
,,إنها تفضل البقاء في المنزل على الخروج.,She prefers staying home to going out.
,,أخبرتني أنها تريد كلباً أليفاً.,She told me that she wanted a pet dog.
,,المعذرة لكنّي لا أستطيع سماعك جيّداً.,"Sorry, but I can't hear you very well."
,,يتحدثون الإسبانية في عشرين دولة.,Spanish is spoken in twenty countries.
,,هذا أسرع قطار في العالم.,That's the fastest train in the world.
,,ذلك هو المكان الذي كنت أعمل فيه,That's the place where I used to work.
,,يحب اليابانيون السفر في مجموعات.,The Japanese like to travel in groups.
,,توقف الحصان و رفض أن يتحرك.,The horse stopped and refused to move.
,,لحِق الصياد آثار الدب.,The hunter followed the bear's tracks.
,,صوب الرجل مسدساً نحو المحققين.,The man aimed a gun at the detectives.
,,الطريقة الجديدة لم تكن مثاليةً البتة.,The new method was anything but ideal.
,,الخِطة الجديدة كانت ناجِحة جداً.,The new plan has been very successful.
,,الشرطة انطلقت لتحل الجريمة,The police set out to solve the crime.
,,المشكلة هي أين يمكن أن يُشترى الكتاب.,The question is where to buy the book.
,,يوجد الكثير من الحيوانات في المنتزه.,There are lots of animals in the park.
,,لا بدّ أنّ هناك طريقة أفضل لفعل هذا.,There must be a better way to do this.
,,هنالك مخرج طوارئ في الخلف .,There's an emergency exit in the rear.
,,طالبوا بتعويض من السائق.,They demanded damages from the driver.
,,عاشوا في إسبانيا بضع سنوات.,They lived in Spain for several years.
,,سيأخذك هذا الباص إلى المطار.,This bus will take you to the airport.
,,يجب استخدام هذا التلسكوب بعناية.,This telescope must be used carefully.
,,هذه ستكون مهمة خطيرة جداً.,This will be a very dangerous mission.
,,قال توم بأنه لم يكن مسموحا له فعل ذلك.,Tom said he wasn't allowed to do that.
,,كلنا مقتنعون بأنه مذنب.,We are all convinced that he's guilty.
,,نحن ممتنون لك جدا لما فعلت.,We are very grateful for what you did.
,,عدنا إلى بوستن في العشرين من أكتوبر.,We returned to Boston on October 20th.
,,نظّفنا صفّنا.,We've finished cleaning our classroom.
,,ما هي طبيعة عملك في المكتب؟,What do you actually do in the office?
,,أتفضل الربيع أم الخريف؟,"Which do you prefer, spring or autumn?"
,,بإمكانك خلع الضّمادة غدا.,You can take off the bandage tomorrow.
,,أكيد لديك كثير من الأسئلة.,You certainly have a lot of questions.
,,يجب ألا تعتمد على الآخرين للمساعدة.,You mustn't depend on others for help.
,,ينبغي أن تتقيد بمبادئك.,You should live up to your principles.
,,لقد أصبحت بناتك نساء.,Your daughters have turned into women.
,,مساعدتك ضرورية لنجاحنا.,Your help is necessary to our success.
,,كل ما عليك فعله هو أن تسمع بعناية.,All you need to do is listen carefully.
,,هل تبحث عن شيء معين,Are you looking for something specific?
,,ألا ترغب في إنهاء عشائك؟,Aren't you going to finish your supper?
,,علم الفلك ليس جديدا على الإطلاق.,Astronomy is by no means a new science.
,,هل يمكنك إخباري الطريق إلي المكتبة؟,Can you tell me the way to the library?
,,صحح الأخطاء ، إن وُجدت.,"Correct the mistakes, if there are any."
,,هل لديك اي فكرة عن من يستطيع فعل هذا؟,Do you have any idea who would do this?
,,هل تعلم ما يعمله توم لكسب لقمة العيش؟,Do you know what Tom does for a living?
,,هل تعلم ما يعمله توم لكسب رزقه؟,Do you know what Tom does for a living?
,,هل تعرف ما هي مهنة توم؟,Do you know what Tom does for a living?
,,لا تتأخر عن اجتماع الغد.,Don't be late for the meeting tomorrow.
,,لا تستسلم فما زالت لديك فرصة.,Don't give up. You still have a chance.
,,ألا تكره هذا النوع من الأفلام؟,Don't you just hate this kind of movie?
,,هو أصم، لكنه يعرف كيف يقرأ الشفاه.,"He is deaf, but knows how to read lips."
,,إنه يتكلم الإنجليزية بلكنة ألمانية.,He speaks English with a German accent.
,,لقد صدم من قبل سيارة وتوفي على الفور.,He was hit by a car and died instantly.
,,سيذهب إلى طوكيو غداً، أليس ذلك صحيحاً؟,"He will go to Tokyo tomorrow, won't he?"
,,ما رأيك بلعب التنس السبت القادم؟,How about playing tennis next Saturday?
,,أقبل ولكن بشرط واحد.,"I accept, but only under one condition."
,,لا أذكر لحن تلك الأغنية.,I can't remember the tune of that song.
,,أنا حقاً غير مهتم بطريقة أو بأخرى.,I don't really care one way or another.
,,لم أعد أتذكر ما حصل.,I don't remember what happened anymore.
,,لدي أربعة أضعاف ما عندك من الأقراص المدمجة.,I have four times more CDs than you do.
,,آمُل ألا أضطر إلى استخدام هذا المسدس.,I hope I don't have to use this pistol.
,,تعجبني اللغة اليابانية كثيرا.,I like the Japanese language very much.
,,أحتاج لمزيد من الوقت لأنهي واجبي المدرسي.,I need more time to finish my homework.
,,أحتاج لمزيد من الوقت لأنجز فروضي.,I need more time to finish my homework.
,,ظننت أنك لا تؤمن بوجود الأشباح.,I thought you didn't believe in ghosts.
,,ظننت أنك قد تود مرافقتي.,I thought you might want to come along.
,,ظننتك قلت أنك لا تحب توم.,I thought you said you didn't like Tom.
,,قلت لك أن ذلك سيكون مملاً.,I told you this was going to be boring.
,,أردت شراء إحدى لوحات توم.,I wanted to buy one of Tom's paintings.
,,كان من المفترض أن أخبر توم أين عليه الذهاب.,I was supposed to tell Tom where to go.
,,لم أكن أعلم بأنه على توم فعل ذلك.,I wasn't aware that Tom should do that.
,,لكم أريد الحصول على كاميرا مثل تلك!,I would like to get a camera like this.
,,أنا أتتطلع لإجازة الصيف.,I'm looking forward to summer vacation.
,,أنا أتتطلع لعطلة الصيف.,I'm looking forward to summer vacation.
,,بعثت بهدية عوضاً عن الذهاب بنفسي.,"Instead of going myself, I sent a gift."
,,انه لمن المهم جداً الحصول على كفاية من الراحة.,It's very important to get enough rest.
,,انه لمن المهم جداً الحصول على ما يكفي من الراحة.,It's very important to get enough rest.
,,تعتمد اليابان على نفط البلدان العربية.,Japan relies on Arab countries for oil.
,,شارك كثير من الطلاب في المسابقة.,Many students took part in the contest.
,,كوكب المريخ يشبه كوكبنا في نواحي عدّة.,Mars resembles our planet in some ways.
,,إحدى أمنياتي هي أن أتعلم اللغة الآيسلندية.,One of my dreams is to learn Icelandic.
,,لقد مرَّت بالكثير من الصعوبات.,She has gone through many difficulties.
,,شكرأ على دعوتكَ لي إلى الحفلة.,Thank you for inviting me to the party.
,,شكراً لدعوتكِ لي إلى الحفلة.,Thank you for inviting me to the party.
,,تتكون الهيئة من أربعة أعضاء.,The committee consists of four members.
,,يتألف المجلس من أربعة أعضاء.,The committee consists of four members.
,,هتف الجمهور عندما سجل هدفاً.,The crowd yelled when he scored a goal.
,,داوم العدو على الهجوم طوال الليل.,The enemy kept up the attack all night.
,,إتهمت هيئة المحلفين الكبرى توم بجريمة قتل.,The grand jury indicted Tom for murder.
,,وضعت الشرطة توم تحت المراقبة.,The police have Tom under surveillance.
,,كانت السفينة تحت رحمة الأمواج.,The ship was at the mercy of the waves.
,,يهاجر البجع من هنا إلى فلوريدا.,The swans migrate from here to Florida.
,,كان هناك 150 راكباً على متن الطائرة.,There were 150 passengers on the plane.
,,توم لا يريد ان يبدو كسائح .,Tom didn't want to look like a tourist.
,,لا يظن توم أن ماري في البيت.,Tom doesn't think that Mary is at home.
,,تلقى توم كما لا بأس به من الردود الجيدة.,Tom got quite a few positive responses.
,,توم علق لوح السهام المريشة خاصته على الحائط.,Tom hung his new dartboard on the wall.
,,توم يعرف الكثير عن التاريخ الأميركي.,Tom knows a lot about American history.
,,نقدر كل ما عملته.,We appreciate everything you have done.
,,لماذا تركت عملك في المزرعة؟,Why did you leave your job on the farm?
,,لا بد أنك البديل المؤقت الذي طلبناه.,You must be the temporary we asked for.
,,من الأفضل أن تأخذ مظلّة معك.,You'd better take an umbrella with you.
,,نتيجة اختبارك ممتازة.,Your examination results are excellent.
,,درجتك في الإمتحان ممتازة.,Your examination results are excellent.
,,كل اجدادي ما زالوا يعيشون,All of my grandparents are still living.
,,يبدأ الأطفال بالذهاب إلى المدرسة في سن السادسة.,Children begin school at the age of six.
,,هل تدربت على عزف البيانو هذا الصباح؟,Did you practice the piano this morning?
,,هل أنهيت واجبك بهذه السرعة؟,Have you finished your homework already?
,,دفع عشرة دولارات فقط لذلك القميص.,He only paid ten dollars for that shirt.
,,غطاه الوحل من رأسه إلى أخمص قدميه.,He was covered in mud from head to foot.
,,غطاه الوحل من رأسه حتى قدميه.,He was covered in mud from head to foot.
,,صدمته سيارة و مات على الفور.,He was hit by a car and died right away.
,,سيوظف شخصا يتحدث الإنجليزية.,He will hire someone who speaks English.
,,"إنهُ أمين جداً, لذلك يمكننا الإعتماد عليه.","He's very honest, so we can rely on him."
,,طموحها هو أن تصبح سفيرة.,Her ambition is to become an ambassador.
,,طموحه أن يصبح سفيرا.,Her ambition is to become an ambassador.
,,تذهب زوجته معه أينما ذهب.,His wife goes with him wherever he goes.
,,كم المدة وأنتَ تُعلم الإسبانية؟,How long have you been teaching Spanish?
,,أفترض أنكما تعرفان بعضكما.,I assume the two of you know each other.
,,لا أشعر بتناول أي طعامٍ اليوم.,I don't feel like eating anything today.
,,لا أشكّ لحظة في صدقك.,I don't for a moment doubt your honesty.
,,لا أظنّن توم يريد فعل ذلك.,I don't think Tom would want to do that.
,,مشيت لأكثر من أربع ساعات.,I have been walking for over four hours.
,,الكلمات لا يمكنها أن تعبر عن شكري لك.,I have no words to express my gratitude.
,,الكلمات لا يمكنها التعبير عن شكري بما يكفي.,I have no words to express my gratitude.
,,سمعت والدتي تغني في الحمام.,I heard my mother singing in the shower.
,,أعجبتني الغرفة المطلة على الوادي.,I liked the room overlooking the valley.
,,لم أكن أتوقع هذا منك حقا.,I really wasn't expecting that from you.
,,أتذكر أني سمعت هذه الموسيقى في مكان ما من قبل.,I remember hearing that music somewhere.
,,إني شاكر لك من أعماق قلبي.,I thank you from the bottom of my heart.
,,كنتُ حذراً جداً، لكنني أصبتُ بنزلةِ برد.,"I was very careful, but I caught a cold."
,,أنا أتساءل أين توم ومع من.,I wonder where Tom is and who he's with.
,,إن كنت في مشكل، فسأساعدك.,I would help you if you were in trouble.
,,أود التحدث إلى رئيسة الممرضات.,I would like to speak to the head nurse.
,,أود التحدث إلى رئيس الممرضين.,I would like to speak to the head nurse.
,,"أنا في العمل الأن, لذلك سأتصل بكَ لاحقاً.","I'm at work now, so I'll call you later."
,,"أنا في العمل الأن, لذلك سوف أتصل بكِ لاحقاً.","I'm at work now, so I'll call you later."
,,أنوي زيارة عمّي في الغد.,I'm going to go visit my uncle tomorrow.
,,أنا أتتطلع لأفعل هذا مجدداً.,I'm looking forward to doing this again.
,,أنا أتتطلع لأعمل معك.,I'm looking forward to working with you.
,,لست راضيا عما فعلته.,I'm not satisfied with what you've done.
,,لست متأكدا حيال ما كان يتحدث توم عنه.,I'm not sure what Tom was talking about.
,,أنا نضج كفايةً لأتّخذ قراراتي الخاصّة.,I'm old enough to make my own decisions.
,,آسف ساعتي ليست معي.,I'm sorry I don't have my watch with me.
,,آسف لكني لا أستطيع أن أقابلك الليلة.,I'm sorry that I can't meet you tonight.
,,أنا آسف، ولكن هذا لم يعد متاحاً.,"I'm sorry, but it's no longer available."
,,متأكّد أني رأيته قبلا في مكان ما.,I'm sure I've seen him somewhere before.
,,عملت نادلًا لثلاث سنوات.,I've worked as a waiter for three years.
,,"لو كنتُ مكانك, كنتُ سأفعل نفس الشئ؟","If I were you, I would also do the same."
,,إذا أمطرت غداً سأبقى في المنزل.,"If it rains tomorrow, I'll stay at home."
,,الأمر ممكن بالتأكيد إن أردت.,It is certainly possible if you want it.
,,تبعد مسافة عشر دقائق بالسيارة عن هنا.,It's about a ten-minute drive from here.
,,خطير جداً بالنسبة لكَ أن تكون هنا.,It's too dangerous for you to stay here.
,,خطير جداً لكِ أن تكوني هنا.,It's too dangerous for you to stay here.
,,لنلعب كرة القاعدة حين يتوقف المطر.,Let's play baseball when the rain stops.
,,يزور العديد من السياح مدينة كيوتو في الربيع .,Many tourists visit Kyoto in the spring.
,,إتقان لغة أجنبية ليس بالأمر السهل,Mastering a foreign language isn't easy.
,,يصّلي المسلمون دائما و هم متوجّهون نحو الكعبة.,Muslims always pray facing toward Mecca.
,,قُتل ما لا يقل عن 50 راكبًا.,No fewer than 50 passengers were killed.
,,سُرق منزلنا عندما كنا مسافرين.,Our house was robbed while we were away.
,,يقارن الناس أحيانًا بين الموت والنوم.,People sometimes compare death to sleep.
,,"من فضلك, صحِح لي, عندما أُخطيء.",Please correct me when I make a mistake.
,,رجاء أخبر توم أني آسف لما حدث.,Please tell Tom I'm sorry that happened.
,,انتحرت عن عمر ينازه الثلاثين عاماً.,She killed herself at the age of thirty.
,,ألا يفترض بك أن تستعد للعمل؟,Shouldn't you be getting ready for work?
,,الكلام فضة، لكن الصمت ذهب.,"Speech is silver, but silence is golden."
,,تُرك ذاك الطفل في الشمس مدة طويلة للغاية.,That child was left in the sun too long.
,,ضمّت الولاياتُ المتحدةُ الأمريكيةُ تكساسَ عام 1845.,The United States annexed Texas in 1845.
,,تعطلت السيارة فعليهم أن يمشوا.,"The car broke down, so they had to walk."
,,سفينة الشحن وصلت مبكرة باربع ساعات.,The cargo ship arrived four hours early.
,,الصلصة كانت حارة جداً ، انها حرقت لساني.,"The dip was so hot, it burned my tongue."
,,سيصل الاخرون في غضون دقائق قليلة.,The others will arrive in a few minutes.
,,سيصل الاخرون في غضون دقائق معدودة.,The others will arrive in a few minutes.
,,الآخرون على وصول.,The others will arrive in a few minutes.
,,أطلق الشرطي رصاصة تحذيرية.,The police officer fired a warning shot.
,,الموقف أسوأ مما نظن.,The situation is worse than we believed.
,,تقع المحطة غرب الفندق.,The station is to the west of the hotel.
,,حفظ الطلبة هذه القصيدة.,The students learned this poem by heart.
,,تجول السياح حول المحلات التجارية .,The tourists wandered around the stores.
,,سيقام العرس في الربيع القادم.,The wedding will take place next spring.
,,هنالك الكثير من الأطفال في الحديقة.,There are a lot of children in the park.
,,هناك عدة طرق لقياس السرعة.,There are several ways to measure speed.
,,بقي القليل من الحليب في الزجاجة.,There is little milk left in the bottle.
,,صاروا لاعبِي كرة قدمٍ محترفين.,They became professional soccer players.
,,هذا القاموس أفضل من ذاك.,This dictionary is superior to that one.
,,هنا حيث توم يركن سيارته غالبا.,This is where Tom usually parks his car.
,,هذا المنتزه جميل و نظيف حقاً.,This park is really beautiful and clean.
,,يوجد في هذا المتجر حلوى أكثر من المتجر الآخر.,This shop has more candy than that shop.
,,في هذا المتجر حلوى أكثر من ذاك.,This shop has more candy than that shop.
,,ومما زاد الطين بلةً، أن زوجها توفي.,"To make matters worse, her husband died."
,,وما زاد الأمور سوءًا، أن زوجها توفي.,"To make matters worse, her husband died."
,,سألني توم إن كنت أعرف أين كانت تعيش ماري.,Tom asked me if I knew where Mary lived.
,,تلقى توم ثلاثة هدايا بمناسبة عيد مولده.,Tom got three presents for his birthday.
,,توم هو الذي دفع ثمن التذاكر.,Tom is the one who paid for the tickets.
,,توم ليس مهتماً بالسياسة بعد الآن.,Tom isn't interested in politics at all.
,,توم ليس كبيراً بما يكفي ليفهم هذا.,Tom isn't old enough to understand this.
,,توم قال بماذا يريد هو دائما.,Tom said that's what he's always wanted.
,,كان توم يأكل العشاء عندما وصلت ماري.,Tom was eating dinner when Mary arrived.
,,نحن نعمل لأجل السلام.,We are working in the interest of peace.
,,أمكننا أن نرى غروب الشمس من النافذة.,We could see the sunset from the window.
,,عندنا كلبٌ، وقط، وثلاثة من الكناري.,"We have a dog, a cat and three canaries."
,,سننتظر حتى يأتي توم هنا.,We're going to wait until Tom gets here.
,,لم نعد نعيش في العصر الحجري.,We're no longer living in the stone age.
,,ما الوقت الذي تشير إليه ساعتك الآن؟,What time does your watch say it is now?
,,عندما كان شاباً، كان عاملاً مثابراً.,"When he was young, he was a hard worker."
,,أين هو مكتب المعلومات السياحية؟,Where is the tourist information office?
,,لماذا لا تركب دراجتك للعمل؟,Why don't you ride your bicycle to work?
,,لا يسعك أن تهمل صحتك.,You can't afford to neglect your health.
,,أنت تعرف أنني لن أعود، أليس كذلك؟,"You know I'm not coming back, don't you?"
,,يجب أن تتم هذا التقرير قبل يوم الأثنين.,You must have the report done by Monday.
,,يجب أن تعمل بجد حتى لا تفشل.,You must work hard in order not to fail.
,,ينبغي أن تخجل من جهلك.,You should be ashamed of your ignorance.
,,ينبغي أن تقلع عن الشرب والتدخين.,You should give up drinking and smoking.
,,لن تشعر أبداً بالملل في صحبتها.,You will never get bored in her company.
,,منذ زمن بعيد، كان هناك جسر هنا.,"A long time ago, there was a bridge here."
,,حضر اللقاء عدد من أصحاب الإختصاص.,A number of experts attended the meeting.
,,كم كلمة انجليزية تعرف؟,About how many English words do you know?
,,قبل كل شيء، يجب ألا نكون أنانيين.,"Above all things, we must not be selfish."
,,كل ما كان يريده توم حقاً كان كأساً من الماء.,All Tom really wanted was glass of water.
,,أأنت من نظّم الحفلة؟,Are you the one who organized this party?
,,هل علي أن أجيب علی أسئلتك كلها؟,Do I have to answer all of the questions?
,,هل يجب علي أن أجيب علی أسئلتك كلها؟,Do I have to answer all of the questions?
,,أتذكرُ ما فعلتَ الجمعة الماضية؟,Do you remember what you did last Friday?
,,أتذكري ما فعلتِ الجمعة الماضية؟,Do you remember what you did last Friday?
,,لا تقلق، سأترجم لك ذلك.,"Don't worry, I'll translate that for you."
,,ألا تظنّ أنّ عليك أخذ قسطٍ من الراحة؟,Don't you think you should get some rest?
,,عند كل الناس مناعةٌ من الجدري اليوم.,Everybody is immune to smallpox nowadays.
,,كل شخص لديه كلاً من نقاط الضعف والقوة.,Everyone has both strong and weak points.
,,بصراحة لا أوافقك الرأي.,"Frankly speaking, I don't agree with you."
,,"صباح الخير, اليوم لدينا طقسُ جميل.",Good morning. We have good weather today.
,,أكتبت من قبل برنامجا حاسوبيا؟,Have you ever written a computer program?
,,هل أنهيت كتابة الرسالة بعد؟,Have you finished writing the letter yet?
,,إنهُ وصل مع فتاة حسناء علي ذراعهُ.,He arrived with a pretty girl on his arm.
,,إنه يشرب كأساً من الماء كل صباح.,He drinks a glass of water every morning.
,,لم يواجه صعوبةً تذكر في حلّ المشكلة.,He had no difficulty solving the problem.
,,إنه على وشك المغادرة إلى كندا.,He is on the point of leaving for Canada.
,,يعجبه الذهاب بالشاطئ بين الفينة والأخرى.,He likes to go to the beach now and then.
,,ابنته وابني صديقان جيدان.,His daughter and my son are good friends.
,,تساءلت دائما عن ما يوجد في عليتك,I always wondered what was in your attic.
